Subject,a_schema,h_schema,Beta_N,Beta_Var,a_generic,h_generic,Beta_gN,Beta_gVar,w,Phi,decay_speed,decay_speed_thres,thres_item_inter,thres_item_final,thres_schema,theta_shift,timevar,modeltimestep
1,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
2,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
3,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
4,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
5,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
6,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
7,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
8,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
9,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
10,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
11,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
12,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
13,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
14,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
15,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
16,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
17,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
18,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
